course_run_key,reporting_type,announcement
course-v1:BerkeleyX+ColWri3.1x-2+3T2015,mooc,1/26/15
course-v1:BerkeleyX+ColWri3.1x+1T2016,mooc,2/19/16
course-v1:BerkeleyX+ColWri3.2x+2T2016,mooc,12/22/15
course-v1:BerkeleyX+ColWri3.3x+2T2016,mooc,12/22/15
course-v1:BerkeleyX+ColWri3.5x+2T2016,mooc,12/17/15
course-v1:BerkeleyX+ColWri3.6x+3T2016,mooc,
course-v1:BerkeleyX+ColWri3.7x+3T2016,mooc,
course-v1:BerkeleyX+ColWri3.8x+2T2016,mooc,12/17/15
course-v1:BerkeleyX+CS105x+1T2016,mooc,2/12/16
course-v1:BerkeleyX+CS110x+2T2016,mooc,2/12/16
course-v1:BerkeleyX+CS115x+3T2016,mooc,
course-v1:BerkeleyX+CS120x+2T2016,mooc,2/12/16
course-v1:BerkeleyX+CS125x+2T2016,mooc,
course-v1:BerkeleyX+CS169.1x+3T2015,mooc,8/28/15
course-v1:BerkeleyX+CS169.1x+3T2015SP,mooc,2/23/16
course-v1:BerkeleyX+CS169.2x+1T2016,mooc,8/28/15
course-v1:BerkeleyX+CS169.2x+1T2016SP,mooc,2/23/16
course-v1:BerkeleyX+EE40LX+2T2015,mooc,6/5/15
course-v1:BerkeleyX+Fin101x+1T2016,mooc,2/10/16
course-v1:BerkeleyX+GG101x-2+1T2015,mooc,11/12/14
course-v1:BerkeleyX+GG101x+1T2016,mooc,11/9/15
course-v1:BerkeleyX+GG101x+1T2017,mooc,12/6/16
course-v1:BerkeleyX+GG101x+3T2015,mooc,6/5/15
course-v1:BerkeleyX+GG101x+3T2016,mooc,6/1/16
course-v1:BerkeleyX+J4SC101x+1T2016,mooc,10/27/15
course-v1:BerkeleyX+Policy01x+1T2016,mooc,11/6/15
course-v1:BerkeleyX+Policy01x+2T2016,mooc,4/7/16
course-v1:BerkleeX+BMPR365_3x+1T2015,mooc,1/7/15
course-v1:BerkleeX+BMPR365x+1BT2016,mooc,3/28/16
course-v1:BerkleeX+BMPR365x+1T2016,mooc,11/5/15
course-v1:BerkleeX+BMPR365x+1T2017,mooc,12/5/16
course-v1:BerkleeX+BMPR365x+2T2015,mooc,4/13/15
course-v1:BerkleeX+BMPR365x+2T2016,mooc,6/23/16
course-v1:BerkleeX+BMPR365x+3T2015,mooc,8/10/15
course-v1:BerkleeX+BMPR365x+3T2016,mooc,9/1/16
course-v1:BerkleeX+MB110_4x+1T2015,mooc,12/24/14
course-v1:BerkleeX+MB110x+1BT2016,mooc,3/28/16
course-v1:BerkleeX+MB110x+1T2016,mooc,11/6/15
course-v1:BerkleeX+MB110x+1T2017,mooc,12/5/16
course-v1:BerkleeX+MB110x+2T2015,mooc,4/13/15
course-v1:BerkleeX+MB110x+2T2016,mooc,6/9/16
course-v1:BerkleeX+MB110x+3T2015,mooc,8/11/15
course-v1:BerkleeX+MB110x+3T2016,mooc,9/1/16
course-v1:BerkleeX+OENTR-391x+1BT2016,mooc,3/17/16
course-v1:BerkleeX+OENTR-391x+1T2016,mooc,10/29/15
course-v1:BerkleeX+OENTR-391x+1T2017,mooc,12/5/16
course-v1:BerkleeX+OENTR-391x+2T2016,mooc,6/9/16
course-v1:BerkleeX+OENTR-391x+3T2015,mooc,8/13/15
course-v1:BerkleeX+OENTR-391x+3T2016,mooc,8/31/16
course-v1:BerkleeX+OHARM-100x+1BT2016,mooc,3/22/16
course-v1:BerkleeX+OHARM-100x+1T2016,mooc,11/20/15
course-v1:BerkleeX+OHARM-100x+1T2017,mooc,12/5/16
course-v1:BerkleeX+OHARM-100x+2T2016,mooc,6/23/16
course-v1:BerkleeX+OHARM-100x+3T2015,mooc,8/6/15
course-v1:BerkleeX+OHARM-100x+3T2016,mooc,8/31/16
course-v1:BerkleeX+OMTHR-001x+1T2017,mooc,12/5/16
course-v1:BerkleeX+OMTHR-001x+2T2016,mooc,8/8/16
course-v1:BUx+ARPO222x+1T2016,mooc,12/17/15
course-v1:BUx+ASTR105x+2T2015,mooc,4/27/15
course-v1:BUx+CIRTL.1x+1T2017,mooc,12/5/16
course-v1:BUx+CIRTL.1x+3T2016,mooc,8/12/16
course-v1:BUx+CIRTL.2x+1T2017,mooc,12/5/16
course-v1:BUx+CIRTL.2x+2T2016,mooc,4/21/16
course-v1:BUx+CIRTL.2x+3T2016,mooc,8/16/16
course-v1:BUx+ComplianceX+4T2015,mooc,4/17/15
course-v1:BUx+GlobalHealthX.1+3T-2015,mooc,9/14/15
course-v1:BUx+GlobalHealthX.2+1T2016,mooc,10/22/15
course-v1:BUx+GlobalHealthX.3+1T2016,mooc,11/19/15
course-v1:BUx+GlobalHealthX+1T2017,mooc,1/4/17
course-v1:BUx+INTL301x+4T2015,mooc,5/28/15
course-v1:BUx+ITOP1x+3T-2015,mooc,9/16/15
course-v1:BUx+LeadershipX+2016-T1,mooc,9/2/15
course-v1:BUx+Math226.1x+1T2016,mooc,10/20/15
course-v1:BUx+Math226.2x+1T2016,mooc,10/20/15
course-v1:BUx+Math226.2x+2T2015,mooc,3/4/15
course-v1:BUx+Math226.3x+1T2016,mooc,10/20/15
